Date,Time,SiteID,Temp_Inst,DO_Inst,pH_Inst,Depth
2023-04-17,11:39:43,LARK014A,17.12,10.71,8.67,0.73
2023-04-17,11:39:44,LARK014A,17.14,10.71,8.67,1.09
2023-04-17,11:40:04,LARK014A,16.94,10.88,8.75,2.34
2023-04-17,11:40:19,LARK014A,16.88,10.97,8.77,3.28
2023-04-17,11:40:25,LARK014A,16.85,10.99,8.76,4.33
2023-04-17,11:40:53,LARK014A,16.4,10.71,8.53,4.79
2023-04-17,11:40:54,LARK014A,16.37,10.17,8.41,5.7
2023-04-17,11:41:03,LARK014A,15.72,8.91,8.29,5.81
2023-04-17,11:41:04,LARK014A,14.49,8.66,8.17,5.87
2023-04-17,11:41:06,LARK014A,14,8.94,8.13,6
2023-04-17,11:41:18,LARK014A,13.42,6.75,7.96,7.02
2023-04-17,11:41:32,LARK014A,12.41,4.94,7.89,7.09
2023-04-17,11:41:44,LARK014A,11.69,3.44,7.78,8.28
2023-04-17,13:38:14,LARK038,16.61,11.73,8.79,0.01
2023-04-17,13:38:51,LARK038,16.29,11.85,8.77,0.5
2023-04-17,13:39:39,LARK038,16.19,11.86,8.76,1
2023-04-17,13:40:17,LARK038,15.28,12.39,8.78,1.51
2023-04-17,13:41:19,LARK038,14.61,12.31,8.58,1.86
2023-04-17,15:18:25,LNEO001A,18.35,12.7,9.38,0.64
2023-04-17,15:18:53,LNEO001A,17.97,12.64,9.4,1.64
2023-04-17,15:19:06,LNEO001A,16.97,13.3,9.47,1.92
2023-04-17,15:19:17,LNEO001A,16.32,13.72,9.49,2.92
2023-04-17,15:19:35,LNEO001A,15.6,11.96,8.94,3.58
2023-04-17,15:19:38,LNEO001A,15.4,11.7,8.93,4.53
2023-04-17,15:19:49,LNEO001A,14.51,8.53,8.46,5.07
2023-04-17,15:19:58,LNEO001A,13.53,6.52,8.25,5.18
2023-04-17,15:20:02,LNEO001A,13.25,6.15,8.21,6.14
2023-04-17,15:20:16,LNEO001A,12.25,3.98,8.02,6.78
